'1','1 de Mayo','Fraccionamiento','61509','Zitácuaro','Urbana','http://www.heraldo.com.mx/michoacan/zitacuaro/61509/1-de-mayo/'
'2','19 de Abril','Colonia','61514','Zitácuaro','Urbana','http://www.heraldo.com.mx/michoacan/zitacuaro/61514/19-de-abril/'
'3','6 de Junio','Colonia','61517','Zitácuaro','Urbana','http://www.heraldo.com.mx/michoacan/zitacuaro/61517/6-de-junio/'
'4','Adolfo López Mateos','Colonia','61525','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61525/adolfo-lopez-mateos/'
'5','Agua Bendita (El Pocito)','Rancho','61529','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61529/agua-bendita-el-pocito/'
'6','Agua Blanca (La Palma)','Rancho','61529','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61529/agua-blanca-la-palma/'
'7','Agua de la Rosa','Rancho','61525','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61525/agua-de-la-rosa/'
'8','Agua Nueva','Rancho','61528','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61528/agua-nueva/'
'9','Aguacatera del Monte','Fraccionamiento','61539','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61539/aguacatera-del-monte/'
'10','Aputzio de Juárez (Santa María)','Pueblo','61533','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61533/aputzio-de-juarez-santa-maria/'
'11','Armadillos (Tercera Manzana de Timbineo)','Ranchería','61537','Zitácuaro','Rural','http://www.heraldo.com.mx/michoacan/zitacuaro/61537/armadillos-tercera-manzana-de-timbineo/'
'12','Barandillas','Fraccionamiento','61502','Zitácuaro','Urbana','http://www.heraldo.com.mx/michoacan/zitacuaro/61502/barandillas/'
